Epoch,Phase,Loss,Accuracy,Precision,Recall,AUC
1,Train,0.2999,0.9315,0.9508,0.9742,0.7603
,Val,0.2202,0.9046,0.9313,0.9409,0.8704
2,Train,0.2095,0.9526,0.967,0.9808,0.8396
,Val,0.4038,0.8378,0.8248,0.9923,0.6924
3,Train,0.1787,0.9596,0.9755,0.9797,0.879
,Val,0.2941,0.8664,0.8521,0.9923,0.748
4,Train,0.1667,0.9596,0.9725,0.9828,0.8664
,Val,0.1899,0.9179,0.9482,0.9409,0.8964
5,Train,0.1519,0.9686,0.9798,0.9854,0.9012
,Val,0.1777,0.9294,0.9378,0.9692,0.892
6,Train,0.1465,0.9673,0.9806,0.9831,0.9039
,Val,0.2451,0.9084,0.8974,0.9897,0.8319
7,Train,0.1397,0.9693,0.9804,0.9857,0.9039
,Val,0.1867,0.9198,0.9242,0.9717,0.871
8,Train,0.1275,0.9748,0.9832,0.9888,0.9184
,Val,0.1774,0.9313,0.938,0.9717,0.8933
9,Train,0.1274,0.9745,0.9851,0.9865,0.9263
,Val,0.1954,0.9313,0.9274,0.9846,0.8812
10,Train,0.1102,0.9799,0.9877,0.99,0.9396
,Val,0.2335,0.9237,0.9185,0.9846,0.8664
